SeriesID,CPI Index (Original),Annual Average % (Original),CPI Index (Seasonally Adjusted),Annual Average % (Seasonally Adjusted)
1949,4,3.85,,
1950,4.3,4.175,,
1951,5.1,4.725,,
1952,6.1,5.75,,
1953,6.4,6.3,,
1954,6.5,6.475,,
1955,6.6,6.525,,
1956,7,6.75,,
1957,7.2,7.125,,
1958,7.2,7.2,,
1959,7.3,7.275,,
1960,7.6,7.5,,
1961,7.9,7.8,,
1962,7.8,7.80E+00,,
1963,7.8,7.8,,
1964,8,7.95,,
1965,8.3,8.2,,
1966,8.6,8.525,,
1967,8.9,8.75,,
1968,9.1,9.05,,
1969,9.4,9.3,,
1970,9.7,9.575,,
1971,10.2,10.025,,
1972,10.9,10.725,,
1973,11.8,11.375,,
1974,13.5,12.825,,
1975,15.8,15,,
1976,17.7,16.925,,
1977,20.1,19.25,,
1978,21.7,21.125,,
1979,23.6,22.825,,
1980,26.2,25.175,,
1981,28.4,27.5,,
1982,31.5,30.375,,
1983,35,33.875,,
1984,36.4,36.2,,
1985,38.8,37.75,,
1986,42.1,40.925,,
1987,46,44.725,46.1,45.26666667
1988,49.3,48.025,49.3,48.025
1989,53,51.525,53.1,51.575
1990,57.1,55.675,57.1,55.675
1991,59,58.6,59.1,58.65
1992,59.7,59.7,59.8,59.775
1993,60.8,60.325,60.9,60.375
1994,61.9,61.425,62,61.475
1995,64.7,63.4,64.7,63.45
1996,66.7,66.1,66.7,66.125
1997,66.9,66.975,66.9,67
1998,67.4,66.95,67.4,67
1999,68.1,67.8,68.1,67.85
2000,70.2,69.425,70.2,69.425
2001,74.5,73.6,74.5,73.6
2002,76.6,75.7,76.6,75.7
2003,78.6,77.975,78.6,78.05
2004,80.6,79.85,80.6,79.875
2005,82.6,81.775,82.6,81.825
2006,85.9,84.4,85.9,84.45
2007,87.7,86.9,87.7,86.925
2008,91.6,89.825,91.6,89.875
2009,92.9,92.625,93,92.675
2010,95.8,94.775,95.8,94.8
2011,99.2,97.725,99.3,97.75
2012,100.4,99.975,100.5,100
2013,102.8,102.25,102.9,102.225
2014,105.9,105.025,106.1,105.05
2015,107.5,106.825,107.7,106.825
2016,108.6,108.3,108.8,108.275
2017,110.7,110.15,110.9,110.125
2018,113,112.275,113.2,112.3
2019,114.8,114.125,115,114.15
2020,114.4,115.65,114.6,115.7