YYYY,MM,DD,DATE,N2O(ppb),SD(ppb),Source
1978,4,26,1978.3178,299.19,0.23,Cape Grim air archive
1978,7,7,1978.5151,299.55,0.19,Cape Grim air archive
1980,9,3,1980.6749,301.66,0.07,Cape Grim air archive
1981,10,5,1981.7616,301.84,0.11,Cape Grim air archive
1984,5,23,1984.3934,302.98,0.11,Cape Grim air archive
1986,2,6,1986.1014,304.51,0.09,Cape Grim air archive
1986,11,12,1986.8658,304.41,0.11,Cape Grim air archive
1987,1,8,1987.0219,304.95,0.12,Cape Grim air archive
1987,5,28,1987.4055,305.32,0.08,Cape Grim air archive
1988,6,21,1988.4727,305.65,0.06,Cape Grim air archive
1989,5,19,1989.3808,307.06,0.04,Cape Grim air archive
1989,11,8,1989.8548,307.49,0.08,Cape Grim air archive
1990,2,16,1990.1288,307.65,0.12,Cape Grim air archive
1990,4,26,1990.3178,307.57,0.3,Cape Grim air archive
1990,5,25,1990.3973,307.78,0.06,Cape Grim air archive
1990,11,13,1990.8685,308.27,0.16,Cape Grim air archive
1990,12,18,1990.9644,308.26,0.13,Cape Grim air archive
1991,6,19,1991.4658,308.67,0.04,Cape Grim air archive
1992,1,16,1992.0437,309.44,0.07,Cape Grim air archive
1992,2,12,1992.1175,309.29,0.06,Cape Grim air archive
1992,3,18,1992.2131,309.07,0.09,Cape Grim air archive
1992,4,8,1992.2705,309.07,0.1,Cape Grim air archive
1992,8,15,1992.620219,309.133,0.3541,flask
1992,9,15,1992.704918,309.316,0.2896,flask
1992,10,15,1992.786885,309.414,0.2936,flask
1992,11,15,1992.871585,309.439,0.3235,flask
1992,12,15,1992.953552,309.475,0.103,flask
1993,1,15,1993.038356,309.361,0.2305,flask
1993,2,15,1993.123288,309.147,0.4554,flask
1993,3,15,1993.2,308.893,0.2747,flask
1993,4,15,1993.284932,308.847,0.3205,flask
1993,5,15,1993.367123,309.005,0.165,flask
1993,6,15,1993.452055,309.035,0.252,flask
1993,7,15,1993.534247,309.146,0.4142,flask
1993,8,15,1993.619178,309.387,0.3363,flask
1993,9,15,1993.70411,309.484,0.0829,flask
1993,10,15,1993.786301,309.64,0.2649,flask
1993,11,15,1993.871233,309.655,0.4153,flask
1993,12,15,1993.953425,309.46,0.0497,flask
1994,1,15,1994.038356,309.333,0.0298,flask
1994,2,15,1994.123288,309.348,0.0537,flask
1994,3,15,1994.2,309.628,0.175,flask
1994,4,15,1994.284932,309.679,0.399,flask
1994,5,15,1994.367123,309.727,0.3156,flask
1994,6,15,1994.452055,310.026,0.3263,flask
1994,7,15,1994.534247,310.102,0.2305,flask
1994,8,15,1994.619178,310.22,0.3295,flask
1994,9,15,1994.70411,310.274,0.3327,flask
1994,10,15,1994.786301,310.125,0.315,flask
1994,11,15,1994.871233,310.147,0.325,flask
1994,12,15,1994.953425,310.363,0.2814,flask
1995,1,15,1995.038356,310.469,0.3297,flask
1995,2,15,1995.123288,310.264,0.2178,flask
1995,3,15,1995.2,309.98,0.3316,flask
1995,4,15,1995.284932,309.938,0.3144,flask
1995,5,15,1995.367123,310.135,0.3369,flask
1995,6,15,1995.452055,310.217,0.2732,flask
1995,7,15,1995.534247,310.151,0.348,flask
1995,8,15,1995.619178,310.487,0.3015,flask
1995,9,15,1995.70411,310.881,0.2267,flask
1995,10,15,1995.786301,310.914,0.2213,flask
1995,11,15,1995.871233,310.973,0.2412,flask
1995,12,15,1995.953425,311.181,0.2645,flask
1996,1,15,1996.038251,311.16,0.2491,flask
1996,2,15,1996.122951,310.937,0.2777,flask
1996,3,15,1996.202186,310.887,0.1814,flask
1996,4,15,1996.286885,310.782,0.2903,flask
1996,5,15,1996.368852,310.7,0.2785,flask
1996,6,15,1996.453552,310.785,0.3166,flask
1996,7,15,1996.535519,310.979,0.3139,flask
1996,8,15,1996.620219,311.251,0.306,flask
1996,9,15,1996.704918,311.373,0.3723,flask
1996,10,15,1996.786885,311.462,0.2625,flask
1996,11,15,1996.871585,311.535,0.1947,flask
1996,12,15,1996.953552,311.736,0.198,flask
1997,1,15,1997.038356,311.921,0.14,flask
1997,2,15,1997.123288,311.887,0.2399,flask
1997,3,15,1997.2,311.883,0.3691,flask
1997,4,15,1997.284932,311.699,0.2857,flask
1997,5,15,1997.367123,311.684,0.3093,flask
1997,6,15,1997.452055,311.914,0.3196,flask
1997,7,15,1997.534247,311.899,0.3426,flask
1997,8,15,1997.619178,312.128,0.2535,flask
1997,9,15,1997.70411,312.524,0.2264,flask
1997,10,15,1997.786301,312.693,0.3312,flask
1997,11,15,1997.871233,312.797,0.1318,flask
1997,12,15,1997.953425,312.869,0.2539,flask
1998,1,15,1998.038356,312.881,0.2925,flask
1998,2,15,1998.123288,312.77,0.2422,flask
1998,3,15,1998.2,312.566,0.2227,flask
1998,4,15,1998.284932,312.481,0.2534,flask
1998,5,15,1998.367123,312.517,0.2922,flask
1998,6,15,1998.452055,312.623,0.3698,flask
1998,7,15,1998.534247,312.943,0.2347,flask
1998,8,15,1998.619178,313.27,0.2109,flask
1998,9,15,1998.70411,313.414,0.4104,flask
1998,10,15,1998.786301,313.471,0.3132,flask
1998,11,15,1998.871233,313.571,0.2655,flask
1998,12,15,1998.953425,313.743,0.1649,flask
1999,1,15,1999.038356,313.802,0.327,flask
1999,2,15,1999.123288,313.789,0.2464,flask
1999,3,15,1999.2,313.821,0.3266,flask
1999,4,15,1999.284932,313.711,0.2083,flask
1999,5,15,1999.367123,313.568,0.269,flask
1999,6,15,1999.452055,313.624,0.2621,flask
1999,7,15,1999.534247,313.777,0.1372,flask
1999,8,15,1999.619178,313.964,0.2341,flask
1999,9,15,1999.70411,314.209,0.3312,flask
1999,10,15,1999.786301,314.344,0.1878,flask
1999,11,15,1999.871233,314.35,0.2486,flask
1999,12,15,1999.953425,314.533,0.2335,flask
2000,1,15,2000.038251,314.725,0.2334,flask
2000,2,15,2000.122951,314.632,0.2708,flask
2000,3,15,2000.202186,314.517,0.2797,flask
2000,4,15,2000.286885,314.433,0.5908,flask
2000,5,15,2000.368852,314.537,0.3738,flask
2000,6,15,2000.453552,314.715,0.0857,flask
2000,7,15,2000.535519,314.654,0.3783,flask
2000,8,15,2000.620219,314.719,0.1615,flask
2000,9,15,2000.704918,314.963,0.2995,flask
2000,10,15,2000.786885,315.107,0.2782,flask
2000,11,15,2000.871585,315.253,0.1848,flask
2000,12,15,2000.953552,315.36,0.1352,flask
2001,1,15,2001.038356,315.268,0.2325,flask
2001,2,15,2001.123288,315.103,0.1105,flask
2001,3,15,2001.2,314.893,0.2735,flask
2001,4,15,2001.284932,314.729,0.2269,flask
2001,5,15,2001.367123,314.881,0.109,flask
2001,6,15,2001.452055,315.131,0.2401,flask
2001,7,15,2001.534247,315.253,0.1723,flask
2001,8,15,2001.619178,315.407,0.2603,flask
2001,9,15,2001.70411,315.677,0.2409,flask
2001,10,15,2001.786301,315.81,0.2045,flask
2001,11,15,2001.871233,315.846,0.1367,flask
2001,12,15,2001.953425,315.974,0.173,flask
2002,1,15,2002.038356,316.056,0.1646,flask
2002,2,15,2002.123288,316.059,0.3348,flask
2002,3,15,2002.2,315.888,0.1919,flask
2002,4,15,2002.284932,315.743,0.188,flask
2002,5,15,2002.367123,315.778,0.2306,flask
2002,6,15,2002.452055,315.992,0.3984,flask
2002,7,15,2002.534247,316.165,0.3789,flask
2002,8,15,2002.619178,316.176,0.1372,flask
2002,9,15,2002.70411,316.118,0.1268,flask
2002,10,15,2002.786301,316.152,0.2115,flask
2002,11,15,2002.871233,316.181,0.1838,flask
2002,12,15,2002.953425,316.125,0.2665,flask
2003,1,15,2003.038356,316.257,0.1499,flask
2003,2,15,2003.123288,316.306,0.3699,flask
2003,3,15,2003.2,316.165,0.2028,flask
2003,4,15,2003.284932,316.2,0.2466,flask
2003,5,15,2003.367123,316.427,0.265,flask
2003,6,15,2003.452055,316.484,0.298,flask
2003,7,15,2003.534247,316.471,0.0078,flask
2003,8,15,2003.619178,316.466,0.5134,flask
2003,9,15,2003.70411,316.619,0.4378,flask
2003,10,15,2003.786301,316.794,0.3653,flask
2003,11,15,2003.871233,316.975,0.1643,flask
2003,12,15,2003.953425,317.367,0.3198,flask
2004,1,15,2004.038251,317.464,0.3324,flask
2004,2,15,2004.122951,317.2,0.2151,flask
2004,3,15,2004.202186,317.074,0.1457,flask
2004,4,15,2004.286885,316.985,0.12,flask
2004,5,15,2004.368852,316.971,0.0936,flask
2004,6,15,2004.453552,317.045,0.2807,flask
2004,7,15,2004.535519,317.183,0.1281,flask
2004,8,15,2004.620219,317.572,0.2181,flask
2004,9,15,2004.704918,317.72,0.2012,flask
2004,10,15,2004.786885,317.626,0.1249,flask
2004,11,15,2004.871585,317.672,0.18,flask
2004,12,15,2004.953552,317.704,0.4752,flask
2005,1,15,2005.038356,317.944,0.491,flask
2005,2,15,2005.123288,317.955,0.1345,flask
2005,3,15,2005.2,317.476,0.2889,flask
2005,4,15,2005.284932,317.265,0.434,flask
2005,5,15,2005.367123,317.633,0.1911,flask
2005,6,15,2005.452055,318.002,0.2686,flask
2005,7,15,2005.534247,317.927,0.2877,flask
2005,8,15,2005.619178,318.047,0.3297,flask
2005,9,15,2005.70411,318.307,0.3299,flask
2005,10,15,2005.786301,318.46,0.4687,flask
2005,11,15,2005.871233,318.811,0.0911,flask
2005,12,15,2005.953425,318.761,0.4256,flask
2006,1,15,2006.038356,318.521,0.0502,flask
2006,2,15,2006.123288,318.587,0.5094,flask
2006,3,15,2006.2,318.589,0.3068,flask
2006,4,15,2006.284932,318.459,0.3043,flask
2006,5,15,2006.367123,318.453,0.1497,flask
2006,6,15,2006.452055,318.594,0.0548,flask
2006,7,15,2006.534247,318.698,0.0624,flask
2006,8,15,2006.619178,318.988,0.2024,flask
2006,9,15,2006.70411,319.244,0.0342,flask
2006,10,15,2006.786301,319.219,0.2291,flask
2006,11,15,2006.871233,319.352,0.2399,flask
2006,12,15,2006.953425,319.486,0.1243,flask
2007,1,15,2007.038356,319.375,0.3362,flask
2007,2,15,2007.123288,319.294,0.0056,flask
2007,3,15,2007.2,319.297,0.1981,flask
2007,4,15,2007.284932,319.137,0.0881,flask
2007,5,15,2007.367123,318.873,0.268,flask
2007,6,15,2007.452055,318.992,0.1778,flask
2007,7,15,2007.534247,319.275,0.0711,flask
2007,8,15,2007.619178,319.542,0.1366,flask
2007,9,15,2007.70411,319.824,0.0848,flask
2007,10,15,2007.786301,319.954,0.3072,flask
2007,11,15,2007.871233,320.218,0.2479,flask
2007,12,15,2007.953425,320.224,0.1105,flask
2008,1,15,2008.038251,320.017,0.1002,flask
2008,2,15,2008.122951,320.464,0.3656,flask
2008,3,15,2008.202186,320.766,0.0339,flask
2008,4,15,2008.286885,320.556,0.405,flask
2008,5,15,2008.368852,320.465,0.102,flask
2008,6,15,2008.453552,320.505,0.6759,flask
2008,7,15,2008.535519,320.65,0.1417,flask
2008,8,15,2008.620219,320.833,0.1494,flask
2008,9,15,2008.704918,320.918,0.3418,flask
2008,10,15,2008.786885,321.085,0.0931,flask
2008,11,15,2008.871585,321.406,0.1041,flask
2008,12,15,2008.953552,321.386,0.3774,flask
2009,1,15,2009.038356,321.277,0.0459,flask
2009,2,15,2009.123288,321.481,0.0385,flask
2009,3,15,2009.2,321.248,0.1798,flask
2009,4,15,2009.284932,320.783,0.1619,flask
2009,5,15,2009.367123,320.859,0.3327,flask
2009,6,15,2009.452055,321.11,0.1921,flask
2009,7,15,2009.534247,321.263,0.4219,flask
2009,8,15,2009.619178,321.48,0.1918,flask
2009,9,15,2009.70411,321.535,0.1314,flask
2009,10,15,2009.786301,321.759,0.1259,flask
2009,11,15,2009.871233,322.111,0.2722,flask
2009,12,15,2009.953425,322.1,0.1597,flask
2010,1,15,2010.038356,322.203,0.0712,flask
2010,2,15,2010.123288,322.33,0.0211,flask
2010,3,15,2010.2,322.105,0.1059,flask
2010,4,15,2010.284932,321.75,0.0916,flask
2010,5,15,2010.367123,321.63,0.0494,flask
2010,6,15,2010.452055,322.034,0.2097,flask
2010,7,15,2010.534247,322.421,0.0589,flask
2010,8,15,2010.619178,322.435,0.1083,flask
2010,9,15,2010.70411,322.633,0.0935,flask
2010,10,15,2010.786301,322.914,0.067,flask
2010,11,15,2010.871233,323.177,0.0952,flask
2010,12,15,2010.953425,323.444,0.0471,flask
2011,1,15,2011.038356,323.278,0.1122,flask
2011,2,15,2011.123288,322.994,0.0364,flask
2011,3,15,2011.2,323.03,0.0357,flask
2011,4,15,2011.284932,323.076,0.0127,flask
2011,5,15,2011.367123,323.022,0.0113,flask
2011,6,15,2011.452055,322.989,0.1309,flask
2011,7,15,2011.534247,322.913,0.3065,flask
2011,8,15,2011.619178,323.092,0.1112,flask
2011,9,15,2011.70411,323.433,0.3101,flask
2011,10,15,2011.786301,323.595,0.0459,flask
2011,11,15,2011.871233,323.754,0.0967,flask
2011,12,15,2011.953425,323.878,0.0575,flask
2012,1,15,2012.038251,324.155,0.1465,flask
2012,2,15,2012.122951,324.094,0.1132,flask
2012,3,15,2012.202186,323.677,0.3296,flask
2012,4,15,2012.286885,323.74,0.103,flask
2012,5,15,2012.368852,324.064,0.0595,flask
2012,6,15,2012.453552,324.048,0.4234,flask
2012,7,15,2012.535519,324.023,0.1764,flask
2012,8,15,2012.620219,324.374,0.1652,flask
2012,9,15,2012.704918,324.631,0.1958,flask
2012,10,15,2012.786885,324.72,0.0824,flask
2012,11,15,2012.871585,324.984,0.1611,flask
2012,12,15,2012.953552,325.017,0.1991,flask
2013,1,15,2013.038356,324.852,0.466,flask
2013,2,15,2013.123288,324.803,0.1928,flask
2013,3,15,2013.2,324.735,0.0157,flask
2013,4,15,2013.284932,324.714,0.3251,flask
2013,5,15,2013.367123,324.648,0.0952,flask
2013,6,15,2013.452055,324.855,0.1331,flask
2013,7,15,2013.534247,325.266,0.0715,flask
2013,8,15,2013.619178,325.293,0.2603,flask
2013,9,15,2013.70411,325.434,0.156,flask
2013,10,15,2013.786301,325.602,0.4856,flask
2013,11,15,2013.871233,325.502,0.2058,flask
2013,12,15,2013.953425,325.345,0.4644,flask
2014,1,15,2014.038356,325.322,0.1098,flask
2014,2,15,2014.123288,325.522,0.0598,flask
2014,3,15,2014.2,325.497,0.2047,flask
2014,4,15,2014.284932,325.366,0.1625,flask
2014,5,15,2014.367123,325.501,0.2764,flask
2014,6,15,2014.452055,325.818,0.2507,flask
2014,7,15,2014.534247,326.032,0.0359,flask
2014,8,15,2014.619178,326.17,0.3119,flask
2014,9,15,2014.70411,326.366,0.163,flask
2014,10,15,2014.786301,326.55,0.1702,flask
2014,11,15,2014.871233,326.811,0.2073,flask
2014,12,15,2014.953425,326.84,0.3152,flask
2015,1,15,2015.038356,326.872,0.2682,flask
2015,2,15,2015.123288,326.982,0.1668,flask
2015,3,15,2015.2,326.718,0.3247,flask
2015,4,15,2015.284932,326.63,0.301,flask
2015,5,15,2015.367123,326.891,0.2084,flask
2015,6,15,2015.452055,326.971,0.155,flask
2015,7,15,2015.534247,327.107,0.1823,flask
2015,8,15,2015.619178,327.327,0.2586,flask
2015,9,15,2015.70411,327.376,0.1307,flask
2015,10,15,2015.786301,327.356,0.1518,flask
2015,11,15,2015.871233,327.46,0.1778,flask
2015,12,15,2015.953425,327.643,0.2393,flask
2016,1,15,2016.038251,327.69,0.2226,flask
2016,2,15,2016.122951,327.6,0.1666,flask
2016,3,15,2016.202186,327.531,0.1949,flask
2016,4,15,2016.286885,327.446,0.1869,flask
2016,5,15,2016.368852,327.442,0.3066,flask
2016,6,15,2016.453552,327.612,0.2377,flask
2016,7,15,2016.535519,327.713,0.1981,flask
2016,8,15,2016.620219,327.841,0.1943,flask
2016,9,15,2016.704918,328.134,0.3849,flask
2016,10,15,2016.786885,328.175,0.2167,flask
2016,11,15,2016.871585,328.046,0.2882,flask
2016,12,15,2016.953552,328.115,0.182,flask
2017,1,15,2017.038356,328.2,0.2073,flask
2017,2,15,2017.123288,327.95,0.366,flask
2017,3,15,2017.2,327.743,0.301,flask
2017,4,15,2017.284932,327.921,0.2347,flask
2017,5,15,2017.367123,328.211,0.2717,flask
2017,6,15,2017.452055,328.51,0.3794,flask
2017,7,15,2017.534247,328.744,0.3536,flask
2017,8,15,2017.619178,328.852,0.2129,flask
2017,9,15,2017.70411,329.064,0.3096,flask
2017,10,15,2017.786301,329.426,0.3656,flask
2017,11,15,2017.871233,329.663,0.2639,flask
2017,12,15,2017.953425,329.682,0.2337,flask
2018,1,15,2018.038356,329.763,0.2058,flask
2018,2,15,2018.123288,329.792,0.2062,flask
2018,3,15,2018.2,329.668,0.2849,flask
2018,4,15,2018.284932,329.811,0.2662,flask
2018,5,15,2018.367123,329.922,0.55,flask
2018,6,15,2018.452055,329.959,0.2564,flask
2018,7,15,2018.534247,330.212,0.2946,flask
2018,8,15,2018.619178,330.411,0.2029,flask
2018,9,15,2018.70411,330.669,0.1357,flask
2018,10,15,2018.786301,330.741,0.1302,flask
2018,11,15,2018.871233,330.834,0.2318,flask
2018,12,15,2018.953425,330.98,0.3767,flask
2019,1,15,2019.038356,330.717,0.356,flask
2019,2,15,2019.123288,330.518,0.2744,flask
2019,3,15,2019.2,330.432,0.2628,flask
2019,4,15,2019.284932,330.29,0.2723,flask
2019,5,15,2019.367123,330.273,0.1229,flask
2019,6,15,2019.452055,330.399,0.3615,flask
2019,7,15,2019.534247,330.797,0.2966,flask
2019,8,15,2019.619178,330.943,0.0333,flask
2019,9,15,2019.70411,330.897,0.1867,flask
2019,10,15,2019.786301,331.189,0.3198,flask
2019,11,15,2019.871233,331.296,0.1579,flask
2019,12,15,2019.953425,331.005,0.3184,flask
2020,1,15,2020.038251,330.931,0.3711,flask
2020,2,15,2020.122951,331.226,0.2758,flask
2020,3,15,2020.202186,331.308,0.3357,flask
2020,4,15,2020.286885,330.98,0.3364,flask
2020,5,15,2020.368852,331.015,0.3015,flask
2020,6,15,2020.453552,331.485,0.2329,flask
2020,7,15,2020.535519,331.692,0.2874,flask
2020,8,15,2020.620219,331.88,0.4159,flask
2020,9,15,2020.704918,332.057,0.3119,flask
2020,10,15,2020.786885,332.159,0.3001,flask
2020,11,15,2020.871585,332.408,0.127,flask
